Start Time: 2022-06-14 16:30:25.483711; End Time: 2022-06-15 01:53:13.289435;
Size: 3270; Interval: 10
ask,bid
22563.91318,22403.69421
22559.4972,22404.69
22536.01226,22379.11
22535.10899,22375.8247
22529.89012,22368.64
22520.05454,22358.93
22503.19356,22337.8125
22470.37485,22308.81
22492.35435,22328.9661
22503.59,22350.84329
22460.97069,22298.43436
22474.11828,22311.48678
22500.91527,22343.43
22506.43525,22343.98
22477.93208,22315.27297
22488.97204,22329.11
22486.48,22330.61703
22473.61646,22313.77
22483.52241,22316.74763
22469.27086,22308.2273
22453.04199,22293.69
22474.319,22311.68605
22480.84262,22318.16244
22482.92023,22323.0
22472.7,22311.58641
22463.95162,22310.79
22457.2273,22293.3154
22457.92984,22294.38871
22466.83,22316.70862
22483.95388,22324.46
22494.19093,22341.36
22469.30084,22309.7
22488.36986,22329.81
22485.96114,22327.18
22473.01428,22320.56
22464.18231,22305.85866
22456.75543,22303.29
22456.81,22297.438
22407.07561,22246.12171
22435.07696,22272.72808
22414.10104,22257.2
22425.24136,22267.8698
22425.34172,22274.08499
22452.23908,22289.76597
22459.52,22307.89985
22445.21365,22282.79139
22449.83036,22287.37469
22440.39621,22278.00883
22461.32,22304.71148
22436.58241,22274.22263
22416.28,22256.07
22441.39985,22284.75
22474.82082,22313.45204
22476.62736,22314.76516
22481.36,22324.8381
22476.48,22323.7421
22480.74225,22318.0628
22480.44116,22317.76389
22452.7409,22292.77571
22447.49,22290.36379
22448.81,22286.8765
22438.38895,22279.4643
22398.94618,22236.85886
22392.42257,22230.38247
22392.52293,22230.4821
22439.09149,22276.71355
22412.2945,22253.34
22408.78178,22246.62326
22426.94754,22264.65751
22451.23545,22288.7696
22446.21729,22283.78776
22457.99,22301.02492
22478.88,22316.86716
22483.55242,22320.85263
22491.2804,22333.28
22468.86028,22307.2024
22443.60784,22286.06869
22442.60421,22284.96662
22447.75,22289.06851
22442.27,22282.73953
22449.78,22288.56184
22438.28859,22276.98886
22441.19912,22287.23479
22455.03,22298.6174
22469.70229,22308.79671
22464.08195,22303.0226
22477.44,22315.0737
22480.3408,22323.62905
22468.19684,22311.20123
22456.45434,22302.81719
22443.02,22289.93704
22434.27405,22279.86266
22442.9053,22287.2165
22445.9162,22285.95532
22434.47478,22275.17006
22449.62964,22288.42573
22451.73727,22289.98043
22455.81,22304.12969
22464.68413,22310.08383
22459.36487,22309.07
22474.51973,22315.02826
22479.03608,22316.36898
22467.4943,22307.42148
22476.32,22317.56462
22478.4339,22318.27692
22478.43,22319.80652
22470.60556,22313.03215
22459.86669,22303.13563
22458.6,22301.62274
22475.72409,22319.1304
22464.58377,22308.83704
22470.20411,22312.73441
22450.13145,22293.80119
22445.01293,22288.02464
22447.8231,22289.53394
22440.79767,22283.16845
22456.75543,22294.78829
22461.37214,22306.96847
22450.03109,22296.9825
22455.85216,22293.35289
22461.17141,22300.36436
22470.90665,22316.41785
22460.76996,22306.23424
22454.84853,22297.24328
22470.5052,22307.89985
22453.04199,22297.15586
22461.52,22305.51487
22469.80266,22310.83034
22476.26,22316.68688
22456.75543,22302.65812
22439.09149,22285.22176
22452.03836,22292.60978
22433.97297,22276.13782
22442.20275,22281.42
22431.9657,22275.77359
22402.25817,22252.58637
22410.38759,22255.08121
22422.1301,22261.01547
22442.50384,22282.75
22443.44,22282.69176
22429.35625,22272.52589
22415.50612,22258.90803
22452.06632,22292.75507
22466.27747,22305.50857
22469.20048,22309.53393
22468.5983,22311.48019
22491.1,22337.39233
22496.90074,22353.31
22504.02653,22342.70235
22488.47023,22332.27922
22488.82283,22327.22938
22501.9189,22339.35313
22506.33489,22353.23171
22496.70001,22333.90504
22476.82809,22319.94075
22474.41937,22315.92544
22483.95388,22323.45435
22472.81355,22319.16134
22469.50157,22309.09643
22469.95,22321.3027
22490.1764,22334.2827
22481.14371,22326.19221
22474.82082,22317.18842
22466.49067,22307.52191
22471.09665,22316.66789
22485.2586,22322.54646
22459.06378,22296.86026
22470.80629,22308.64
22472.11101,22315.14
22470.03838,22307.50131
22472.51246,22309.89259
22471.53,22310.59005
22493.08,22330.71667
22489.07241,22329.4
22502.18,22340.18216
22484.83,22325.73483
22494.66,22341.27816
22516.65,22354.33058
22508.3481,22350.34511
22514.65,22360.10951
22514.56468,22351.64039
22487.56696,22330.55447
22500.91527,22338.08979
22510.44978,22347.55528
22507.03743,22344.16763
22517.98,22355.62586
22495.99747,22336.77751
22491.63855,22331.91231
22504.67102,22342.17489
22492.68548,22332.341
22507.71,22345.56254
22502.72181,22343.89441
22508.04106,22345.164
22488.77132,22326.03374
22477.93208,22317.59324
22456.45434,22303.84028
22454.54744,22292.05761
22450.03109,22287.57396
22455.24938,22294.24962
22463.85,22303.01765
22455.04925,22292.5558
22471.20774,22308.59731
22475.32264,22312.68242
22445.71547,22283.28958
22427.65008,22270.02873
22429.85807,22271.79903
22442.62,22284.18631
22444.00929,22286.19
22477.63099,22321.51
22460.16778,22305.25
22470.40484,22310.83
22477.73135,22317.51391
22463.07832,22305.97698
22474.82082,22312.18423
22485.15824,22330.13
22475.22227,22318.60603
22465.98885,22313.22428
22462.07468,22299.53037
22473.11464,22311.80669
22471.20774,22309.84131
22460.06742,22299.99583
22460.56923,22299.4079
22462.9,22313.28024
22462.9,22334.40323
22502.01927,22342.39229
22505.11,22344.96472
22500.61418,22339.97
22511.32636,22352.47625
22498.88144,22345.79
22498.58035,22341.27
22507.71331,22351.33288
22509.6202,22347.18323
22522.05,22365.21767
22510.62382,22354.18924
